Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES
18000|sasu|差す||1|||差|sa|3|4556;13267;13268;13269;13270;13271;13272;13273;13274;13275;13276;13277;13278;13279;13280;13281||17142;17143;17144;17145;17146;17147;17148;17149;17150;17151;17152;17153;17154;17155;17156;17157||17395;17396;17397|
18001|sasu|指す||1||を|指|sa|3|13282;13283;13284;13285;35756||17158;17159;17160;17161;17162||17398;17399;17400|
18002|sasu|挿す||0||を|挿|sa|3|4562||17163;17164;17165;17166;17167|||
18003|sasu|螫す||0||を|螫|sa|3|4563||||17401|
18004|sasu|鎖す||1||を|鎖|sa|3|4564|||||
18005|tozasu|閉ざす||1||を|閉ざ|toza|3|4565;12024;12025||17168||17402|
18006|shimesu|湿す||0||を|湿|shime|3|4566||17169||17403|
18007|okosu|興す||1||を|興|oko|3|4567;11817;11818||17170||17404|
18008|okosu|熾す||0||を|熾|oko|3|4568||||17405|
18009|utsusu|写す||1||を|写|utsu|3|4569||17171;17172||17406;17407;17408|
18010|utsusu|映す||1||を|映|utsu|3|4570||17173||17409|
18011|kasu|課す||0||を|課|ka|3|4571||||17410|
18012|uchifusu|打ち伏す||0|||打ち伏|uchifu|3|4572|||||
18013|utsubusu|俯す||0|||俯|utsubu|3|4573||||17411|
18014|fusu|臥す||0|||臥|fu|3|4574|||||
18015|gasu|臥す||0|||臥|ga|3|4575|||||
18016|shirusu|記す|誌す;識す;kisu|1|||記|shiru|3|4576;11911||17174||17412|
18017|tsubusu|潰す||1||を|潰|tsubu|3|4577;36093;36094;36095;36096;36097||17175;17176;17177;17178;17179||17413|
18018|mezasu|目指す|目ざす;目差す|1||を|目指|meza|3|4578;17389||17180;17181||17414|
18019|neraisumasu|狙い澄ます||0||を|狙い澄ま|neraisuma|3|4579|||||
18020|orosu|下ろす|下す;降ろす|1||を|下ろ|oro|3|16146;16147;16148;16149;16150||17182;17183;17184;17185||17415;17416;17417;17418;17419;17420;17421;17422;17423;17424;17425|
18021|orosu|卸す||1||を|卸|oro|3|4582||17186;17187;17188||17426|
18022|orosu|堕ろす||0||を|堕ろ|oro|3|4583||||17427|
18023|hanasu|離す||1||を|離|hana|3|4584||17189||17428|
18024|hanasu|放す||1||を|放|hana|3|4585;18241||17190;17191||17429|
18025|moyasu|燃やす||1||を|燃や|moya|3|4586||17192||17430|
18026|tsuredasu|連れ出す||0||を|連れ出|tsureda|3|4587|||||
18027|oiotosu|追い落とす||0||を|追い落と|oioto|3|4588|||||
18028|yokosu|寄越す|遣す;寄こす|1||を|寄越|yoko|3|4589;23498||17193;17194||17431|
18029|shimekorosu|絞め殺す||0||を|絞め殺|shimekoro|3|4590||||17432|
18030|toridasu|取り出す||1||を|取り出|torida|3|4591;12005||17195||17433|
18031|abaredasu|暴れ出す||1|||暴れ出|abareda|3|4592|||||
18032|kagidasu|嗅ぎ出す||0||を|嗅ぎ出|kagida|3|4593|||||
18033|toorikosu|通り越す||0|||通り越|tooriko|3|4594|||||
18034|yousu|要す||0||を|要|you|3|4595|||||
18035|nigedasu|逃げ出す|逃出す;にげ出す;逃げだす|1|||逃げ出|nigeda|3|4596;23292;23293||17196||17434|
18036|nigasu|逃がす|迯がす|1||を|逃が|niga|3|4597;7463;7464||17197||17435|
18037|nogasu|逃す||0||を|逃|noga|3|4598||17198||17436|
18038|iotosu|射落とす||0||を|射落と|ioto|3|4599|||||
18039|tatakiotosu|叩き落とす||0||を|叩き落と|tatakioto|3|4600|||||
18040|niburasu|鈍らす||0||を|鈍ら|nibura|3|4601|||||
18041|hikidasu|引き出す|引出す;引きだす|1||を|引き出|hikida|3|4604||17199||17437|
18042|miorosu|見下ろす|見おろす|1|||見下ろ|mioro|3|4605||17200||17438|
18043|toosu|通す|徹す;透す;徹す|1||を|通|too|3|4606;12592;12593;12594;12595;12596;12597;12598;12599;12600;12601;12602;12603;12604;12605;19799||17201;17202;17203;17204;17205;17206;17207;17208;17209;17210;17211;17212;17213;17214;17215||17439|
18044|tobasu|飛ばす||1||を|飛ば|toba|3|6991;6992;6993;6994;6995;6996;6997;6998;6999;7000;7001||17216;17217;17218;17219||17440;17441;17442;17443;17444;17445|
18045|tobidasu|飛び出す|飛出す;跳び出す; 飛びだす; 跳びだす|1|||飛び出|tobida|3|4608;35464;35465;35466||17220;17221;17222||17446|
18046|sugosu|過ごす|過す|1|||過ご|sugo|3|4610;13983;13984;13985;13986||17223;17224;17225;17226;17227||17447|
18047|terasu|照らす||1||を|照ら|tera|3|4612;6990||17228||17448|
18048|minaosu|見直す|見なおす|1|||見直|minao|3|4614;9753;9754;9755;9756||17229;17230;17231;17232||17449|
18049|samasu|覚ます|醒ます|1||を|覚ま|sama|3|4615||17233;17234;17235;17236||17450|
18050|arawasu|現す|表わす|1||を|現|arawa|3|4616|||||
18051|arawasu|表す|顕す;現す;現わす;表わす|1||を|表|arawa|3|4617;12693;12694;12695||17237;17238;17239;17240||17451|
18052|arawasu|顕す||1||を|顕|arawa|3|4618|||||
18053|ryakusu|略す||1||を|略|ryaku|3|4619||17241;17242||17452|
18054|nasu|成す||1||を|成|na|3|4620|||||
18055|nasu|為す|成す|1||を|為|na|3|4621;7850;7851;7852;7853||17243;17244;17245;17246;17247;17248||17453;17454;17455;17456;17457;17458;17459|
18056|nasu|生す||0||を|生|na|3|4622|||||
18057|oyobosu|及ぼす||1||を|及ぼ|oyobo|3|4623||17249||17460|
18058|odorokasu|驚かす||1||を|驚か|odoroka|3|4624||17250||17461|
18059|odokasu|脅かす|嚇かす;威かす|1||を|脅か|odoka|3|4625;35910;35911||17251;17252||17462|
18060|nayamasu|悩ます||1||を|悩ま|nayama|3|4626||17253||17463|
18061|mitasu|満たす|充たす|1||を|満た|mita|3|4627;7834;7835||17254||17464;17465|
18062|ikasu|生かす|活かす|1||を|生か|ika|3|4628||17255||17466|
18063|zurasu|滑らす||0||を|滑ら|zura|3|4629||17256;17257|||
18064|hashiridasu|走り出す|走りだす|1|||走り出|hashirida|3|4630;35256||||17467|
18065|samasu|冷ます||1||を|冷ま|sama|3|4631||17258;17259||17468|
18066|horidasu|掘り出す||0||を|掘り出|horida|3|4632|||||
18067|yurasu|揺らす||0||を|揺ら|yura|3|4633|||||
18068|hatasu|果たす|果す|1||を|果た|hata|3|7671;7672||17260||17469|
18069|fukidasu|吹き出す||1|||吹き出|fukida|3|4635||17261||17470|
18070|mawasu|回す|廻す|1||を|回|mawa|3|4636;14926;14927;14928;14929;14930;14931;14932;19331;20500;20501;20502;20503;20504;20505;20506;20507||17262;17263;17264;17265;17266;17267;17268;17269||17471;17472|
18071|torikesu|取り消す|取消す|1||を|取り消|torike|3|12007||17270||17473|
18072|furiorosu|振り下ろす||0|||振り下ろ|furioro|3|4638|||||
18073|ketaosu|蹴倒す||0||を|蹴倒|ketao|3|4639|||||
18074|midasu|乱す|紊す|1||を|乱|mida|3|4640;36501||17271||17474|
18075|kudasu|下す||1||を|下|kuda|3|4641||17272||17475|
18076|hagasu|剥がす||1||を|剥が|haga|3|4642||17273||17476|
18077|sosonokasu|唆す||1||を|唆|sosonoka|3|4643||17274||17477|
18078|jirasu|焦らす||0||を|焦ら|jira|3|4644||||17478|
18079|kasu|化す|kesu|0|||化|ka|3|4645||||17479|
18080|takusu|託す|托す|1||を|託|taku|3|4646;36725;36726;36727;36728||17275||17480|
18081|uchidasu|打ち出す|打出す;打ちだす|1||を|打ち出|uchida|3|4647;8565;8566;8567;8568;8569|||||
18082|uchikesu|打ち消す|打消す|1||を|打ち消|uchike|3|4648||17276;17277||17481|
18083|oshitaosu|押し倒す|押倒す|0||を|押し倒|oshitao|3|4649||||17482|
18084|torikobosu|取り零す|取りこぼす;取零す|1|||取り零|torikobo|3|4650|||||
18085|barasu|ばらす||0||を|ばら|bara|3|4651;13558;13559|||||
18086|arainaosu|洗い直す|洗いなおす|0||を|洗い直|arainao|3|4652||||17483|
18087|arainagasu|洗い流す||0||を|洗い流|arainaga|3|4653|||||
18088|okuridasu|送り出す||0||を|送り出|okurida|3|4654|||||
18089|umidasu|生み出す|産み出す;産みだす; 生みだす; うみ出す; 産み出す|1||を|生み出|umida|3|19873;19874;19875||17278;17279||17484;17485;17486|
18090|dokasu|退かす||0||を|退か|doka|3|4656|||||
18091|arukidasu|歩き出す||1|||歩き出|arukida|3|4658|||||
18092|noridasu|乗り出す|乗出す|1||を|乗り出|norida|3|4659;8898;8899;8900||17280;17281;17282||17487;17488;17489;17490|
18093|egakidasu|描き出す||0||を|描き出|egakida|3|4660||||17491|
18094|misugosu|見過ごす||1||を|見過ご|misugo|3|8854||17283||17492|
18095|buttobasu|ぶっ飛ばす||0|||ぶっ飛ば|buttoba|3|4662|||||
18096|kechirasu|蹴散らす||0||を|蹴散ら|kechira|3|4663;21117|||||
18097|okurikaesu|送り返す||0||を|送り返|okurikae|3|4664||17284||17493|
18098|furidasu|降り出す||0|||降り出|furida|3|4665||17285|||
18099|furidasu|振り出す||0||を|振り出|furida|3|4666|||||
18100|yogosu|汚す||1||を|汚|yogo|3|4667||17286;17287||17494;17495|
18101|nesugosu|寝過ごす||1|||寝過ご|nesugo|3|6091||17288||17496|
18102|matasu|待たす||1||を|待た|mata|3|7821|||||
18103|norikosu|乗り越す||1||を|乗り越|noriko|3|8911;8912;8913||17289||17497|
18104|norimawasu|乗り回す||1||を|乗り回|norimawa|3|8915||17290||17498|
18105|miwatasu|見渡す||1||を|見渡|miwata|3|9777||17291||17499|
18106|yosu|止す||1||を|止|yo|3|10279||17292||17500|
18107|tsukisasu|突き刺す||1||を|突き刺|tsukisa|3|10213;19826||17293||17501|
18108|namesu|鞣す||0||を|鞣|name|3|36353||||17502|
18109|hodokosu|施す||1||を|施|hodoko|3|7117;7118;7119;7120;7121||17294||17503|
18110|tsukusu|尽くす|尽す;盡す; 尽す|1|||尽く|tsuku|3|10581;10582||17295;17296||17504|
18111|mihanasu|見放す||1||を|見放|mihana|3|10957||17297||17505|
18112|okasu|犯す||1||を|犯|oka|3|11049;11050;11051||17298;17299||17506|
18113|nekasu|寝かす||1|||寝か|neka|3|11026||17300||17507|
18114|nagedasu|投げ出す||1||を|投げ出|nageda|3|11000;11001;11002;11003||||17508|
18115|yubisasu|指差す|指さす|1||を|指差|yubisa|3|12101||17301||17509|
18116|tadasu|正す||1||を|正|tada|3|11940;11941||17302||17510|
18117|masu|増す||1|||増|ma|3|11695||17303||17511|
18118|torimodosu|取り戻す|とり戻す;取戻す|1||を|取り戻|torimodo|3|12011||17304||17512|
18119|fuyasu|増やす|殖やす|1||を|増や|fuya|3|11425||17305||17513|
18120|hikiokosu|引き起こす|引起こす;引きおこす;惹き起す;引起す;引き起す;惹き起こす|1||を|引き起こ|hikioko|3|8187;8188||17306||17514|
18121|iiwatasu|言い渡す|言渡す|1||を|言い渡|iiwata|3|12318||||17515|
18122|haridasu|張り出す|貼り出す;張出す|1||を|張り出|harida|3|12476;12477||17307||17516|
18123|yuzuriwatasu|譲り渡す||1||を|譲り渡|yuzuriwata|3|13454||17308|||
18124|sashidasu|差し出す|さし出す;差しだす;差出す|1||を|差し出|sashida|3|13250||17309||17517|
18125|akasu|明かす||1||を|明か|aka|3|12663;12664;12665||17310;17311||17518;17519|
18126|tsukuridasu|作り出す||0||を|作り出|tsukurida|3|15364;15365|||||
18127|nurasu|濡らす|濡す|1||を|濡ら|nura|3|15106||17312||17520|
18128|nukedasu|抜け出す|抜けだす;脱け出す|1|||抜け出|nukeda|3|15077;15078;15079;15080||17313||17521|
18129|nukasu|抜かす|吐かす|1||を|抜か|nuka|3|15074;15075;15076||17314||17522|
18130|hikiwatasu|引き渡す|引渡す;引きわたす|1||を|引き渡|hikiwata|3|18263||||17523|
18131|hikikaesu|引き返す|引返す;引きかえす|1||を|引き返|hikikae|3|18251||17315||17524|
18132|yurugasu|揺るがす||1||を|揺るが|yuruga|3|18542||17316||17525|
18133|kashidasu|貸し出す||1||を|貸し出|kashida|3|19110||17317||17526|
18134|yobidasu|呼び出す|呼びだす;喚び出す;呼出す|1||を|呼び出|yobida|3|21395;21396||17318;17319||17527;17528|
18135|tadasu|糺す|糾す;正す|1||を|糺|tada|3|21348||17320||17529|
18136|tsuiyasu|費やす||1||を|費や|tsuiya|3|21388;21389;21390||17321;17322;17323||17530|
18137|shirasu|知らす||0|||知ら|shira|3|21320;21321;21322|||||
18138|sekasu|急かす||1||を|急か|seka|3|21311||17324||17531|
18139|narasu|鳴らす||1||を|鳴ら|nara|3|21202;21203;21204;21205||17325;17326;17327||17532|
18140|narasu|慣らす|馴らす|1||を|慣ら|nara|3|21200;21201||17328||17533|
18141|moyoosu|催す||1||を|催|moyoo|3|21176;21177||17329||17534|
18142|kamoshidasu|醸し出す|かもし出す;醸しだす|0||を|醸し出|kamoshida|3|21090|||||
18143|furimawasu|振り回す|振回す;振りまわす|1||を|振り回|furimawa|3|21020;21021;21022;21023|||||
18144|nezasu|根ざす|根差す|1|||根ざ|neza|3|22089|||||
18145|tsuketasu|付け足す|付足す;つけ足す; 付足す|1||を|付け足|tsuketa|3|22440||17330||17535|
18146|uragaesu|裏返す||1||を|裏返|uragae|3|22476||17331||17536|
18147|uchitaosu|打ち倒す||0||を|打ち倒|uchitao|3|23439|||||
18148|tsukawasu|遣わす|使わす|0|||遣わ|tsukawa|3|23424;23425||17332|||
18149|awasu|合わす|合す|1||を|合わ|awa|3|23768;23769;23770;23771;23772;23773;23774;23775||17333||17537|
18150|arawasu|著す|著わす|1||を|著|arawa|3|23725||17334||17538|
18151|arasu|荒らす|荒す|1||を|荒ら|ara|3|23717;23718;23719||17335;17336||17539|
18152|amayakasu|甘やかす||1||を|甘やか|amayaka|3|23654||17337||17540|
18153|amasu|余す|剰す|1||を|余|ama|3|23652||17338||17541|
18154|bokasu|暈す|暈かす|1||を|暈|boka|3|24042;24043||17339||17542|
18155|chirakasu|散らかす||1||を|散らか|chiraka|3|24261||17340||17543|
18156|fukasu|蒸かす|蒸す|1||を|蒸か|fuka|3|24949||17341||17544|
18157|fukuramasu|膨らます||1||を|膨らま|fukurama|3|25058||17342||17545|
18158|gomakasu|誤魔化す|誤摩化す;胡麻化す;誤魔かす;胡魔化す;誤摩化す|1||を|誤魔化|gomaka|3|25708;25709;25710||17343||17546|
18159|hamidasu|食み出す|はみ出す|1|||食み出|hamida|3|26010||17344||17547|
18160|hikinobasu|引き延ばす|引き延す;引延ばす;引延す;引き伸ばす;引き伸す;引伸ばす;引伸す;引きのばす|1||を|引き延ば|hikinoba|3|26323;26324;26325||17345||17548|
18161|hikimodosu|引き戻す|引戻す;引きもどす|1||を|引き戻|hikimodo|3|26322||17346||17549|
18162|hikihanasu|引き離す|引離す;引きはなす|1||を|引き離|hikihana|3|26320;26321||17347||17550|
18163|hayasu|生やす||1||を|生や|haya|3|26209||17348||17551|
18164|haraimodosu|払い戻す|払戻す|1||を|払い戻|haraimodo|3|26132||17349||17552|
18165|hitasu|浸す||1||を|浸|hita|3|26502;26503||17350||17553|
18166|honomekasu|仄めかす||1||を|仄めか|honomeka|3|26658||17351||17554|
18167|hirugaesu|翻す|飜す|1||を|翻|hirugae|3|26477;26478;26479||17352||17555|
18168|jisu|辞す||1|||辞|ji|3|27404;27405;27406;27407|||||
18169|kakinaosu|書き直す|書きなおす;かき直す|1||を|書き直|kakinao|3|27962||17353||17556|
18170|kakimawasu|掻き回す|かき回す|1||を|掻き回|kakimawa|3|27961||17354||17557|
18171|kachikosu|勝ち越す|勝越す|1|||勝ち越|kachiko|3|27775;27776||||17558|
18172|kakasu|欠かす||1||を|欠か|kaka|3|27938||||17559|
18173|kikasu|聞かす||1||を|聞か|kika|3|28546;28547;28548||17355||17560|
18174|kenasu|貶す||1||を|貶|kena|3|28431||17356||17561|
18175|miharasu|見晴らす|見晴す|1||を|見晴ら|mihara|3|29907||17357||17562|
18176|mazeawasu|混ぜ合わす||1|||混ぜ合わ|mazeawa|3|29803|||||
18177|misebirakasu|見せびらかす||1||を|見せびらか|misebiraka|3|29985||17358||17563|
18178|mochidasu|持ち出す|持出す|1||を|持ち出|mochida|3|30051;30052|||||
18179|miotosu|見落とす|見落す|1||を|見落と|mioto|3|29975||17359||17564|
18180|magirasu|紛らす||1||を|紛ら|magira|3|29698;29699||17360||17565|
18181|madowasu|惑わす||1||を|惑わ|madowa|3|29683;29684||17361||17566|
18182|kuridasu|繰り出す|繰出す;くり出す|1||を|繰り出|kurida|3|29447;29448;29449;29450|||||
18183|korogasu|転がす||1||を|転が|koroga|3|29092;29093;29094;29095||17362;17363;17364;17365||17567|
18184|kutsugaesu|覆す||1||を|覆|kutsugae|3|29477;29478;29479||17366||17568|
18185|konasu|熟す||1|||熟|kona|3|29055;29056;29057;29058;29059;29060||17367||17569|
18186|kirasu|切らす||1||を|切ら|kira|3|28861;28862||||17570|
18187|orikaesu|折り返す|折返す|1||を|折り返|orikae|3|30896;30897;30898||17368||17571|
18188|osu|推す||1||を|推|o|3|30954;30955;30956||17369||17572|
18189|okasu|冒す||1||を|冒|oka|3|30760;30761;30762;30763||17370||17573|
18190|okasu|侵す||1||を|侵|oka|3|30757;30758;30759||17371;17372;17373||17574|
18191|nigosu|濁す||1||を|濁|nigo|3|30495;30496||17374;17375||17575|
18192|obiyakasu|脅かす|脅やかす;劫かす|1||を|脅か|obiyaka|3|30701;30702||||17576|
18193|oikosu|追い越す|追越す;追いこす|1||を|追い越|oiko|3|30742;30743||17376;17377||17577|
18194|oidasu|追い出す||1||を|追い出|oida|3|30739||17378||17578|
18195|odosu|脅す|威す;嚇す|1||を|脅|odo|3|30725||17379||17579|
18196|nigirasu|握らす||1||を|握ら|nigira|3|30481||||17580|
18197|mochinaosu|持ち直す|持直す;持ちなおす|1||を|持ち直|mochinao|3|30066||17380||17581|
18198|motenasu|持て成す|持てなす|1||を|持て成|motena|3|30105||17381||17582|
18199|mochikosu|持ち越す||1||を|持ち越|mochiko|3|30061|||||
18200|omoiokosu|思い起こす|思い起す;思起す|1||を|思い起こ|omoioko|3|30784|||||
18201|omoinaosu|思い直す|思いなおす|1||を|思い直|omoinao|3|30783||17382||17583|
18202|okurasu|遅らす|後らす;遅す|1||を|遅ら|okura|3|30772||17383||17584|
18203|sashishimesu|指し示す|指示す|1||を|指し示|sashishime|3|31812|||||
18204|sashimodosu|差し戻す|差戻す|1||を|差し戻|sashimodo|3|31811||17384|||
18205|sarasu|晒す|曝す|1||を|晒|sara|3|31794;31795;31796;31797;31798||17385||17585|
18206|utsushidasu|映し出す|写し出す;映しだす;写しだす;うつし出す|1||を|映し出|utsushida|3|34045;34046||||17586|
18207|yarisugosu|やり過ごす|遣り過す|1||を|やり過ご|yarisugo|3|34154;34155||17386||17587|
18208|yarinaosu|やり直す|遣り直す;遣りなおす|1||を|やり直|yarinao|3|34153||17387||17588|
18209|waridasu|割り出す|割出す|1||を|割り出|warida|3|34094;34095||17388||17589|
18210|yorokobasu|喜ばす|悦ばす|1|||喜ば|yorokoba|3|34271||17389||17590|
18211|tsurusu|吊るす|吊す|1||を|吊る|tsuru|3|33902||17390||17591|
18212|uridasu|売り出す|売出す|1|||売り出|urida|3|34009;34010||17391;17392||17592|
18213|unagasu|促す||1||を|促|unaga|3|33988;33989||17393||17593|
18214|torinokosu|取り残す|取残す;とり残す|1||を|取り残|torinoko|3|33718||||17594|
18215|tomosu|灯す|点す;燈す;tobosu|1||を|灯|tomo|3|33687||17394||17595|
18216|tokihogusu|解きほぐす|解き解す;解解す|1||を|解きほぐ|tokihogu|3|33621;33622|||||
18217|tewatasu|手渡す||1||を|手渡|tewata|3|33585||17395|||
18218|torikaesu|取り返す|取返す|1||を|取り返|torikae|3|33706||17396||17596|
