MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
57|marqueur d'objet de verbe|PP|Utilisé à la place de wo/ga lors de la comparaison de déclarations.|X wa @ X = objet|794;795;796||
58|marqueur d'objet de verbe|PP|Utilisé à la place de wo/ga dans des cas distincts tels que "aru" dans des phrases négatifs.|X wa Y @ X = objet, Y = verbe|||
59|vous savez, certainement, écoutez-moi, indique une émotion ou une admiration, indique une accentuation|PP|Utilisé à la fin d'une phrase pour souligner l'information produite. Habituellement dit par un personnage féminin.|X wa @ X = phrase|||
60|wah!|OI|||||
61|huer!|OI|||||
62|indique le lieu de l'action|PP|Est différencié de l'utilisation de "ni" pour une action se déroulant sur un site par l'aspect à court terme de l'action, ex. manger au restaurant.|X de @ X = nom|797;798;1317||
63|indique le moyen d'action, la cause de l'effet, au moyen de|PP||X de @ X = nom|799||
64|substance d'un matériau|PP||X de @ X = nom|800;211||
65|à cause de, puis, donc|PP||X de @ X = nom|801;163;1385||
66|indique les limites dans l'espace|PP||X de @ X = nom|802||
67|indique le moment de l'action|PP||X de @ X = nom|803||
68|indique les limites en prix ou en quantité|PP||X de @ X = nom|804||
69|et, indique une action continue|CO|X et Y.|X de Y @ X/Y = phrase|977||
70|indique la certitude, l'emphase, etc.|PP|||||
71|même (par ex. même un enfant pourrait le soulever)|PP||X datte|||
72|aussi, également, en outre|PP||X datte|||
73|on dit que, d'après ce que j'entends, vous voulez dire|PP||X datte|||
74|après tout, parce que|PC|C'est X après tout, parce que X. Utilisé familièrement à la fin d'une phrase, le locuteur l'utilise pour indiquer que la phrase est la cause ou la racine d'une autre.|datte X @ X = phrase|||
75|mais|PC|Mais X ... Utilisé familièrement (discours occasionnel) uniquement.|datte X @ X = phrase|||
76|tu sais, certainement, écoute-moi|PP|ME#0051;0052||||
77|hé, attends|PP|||||
78|tu sais, certainement, écoute-moi|PP|ME#0051;0052||||
79|... n'est-ce pas ?, demande de confirmation|PP|Utilisé à la fin de la phrase.|X yone|806||
80|degré, étendue, bornes, limite|N;Abs|||||
81|marqueur na-adjectif|PP|Équivalent à "no" utilisé pour décrire les noms.|X na @ X = adj. "na"|807||
82|hé, écoute, toi|OI|||||
83|bon, bien, je vous le dis!, vous savez|OI|||||
84|wow, ooh|OI|||||
85|indique une question (parfois rhétorique)|PP|ME#0053;0054;0055||||
86|ou, si oui ou non|PP|X ou Y.|X ka Y @ X/Y = nom|810||
87|indique le doute, l'incertitude, etc.|PC|Je ne Y pas si X est ...|X ka Y @ X = question, Y = sais/pense/crois/etc..|1015||
88|soit … soit|PP|X ou Y. "ka" est dis après chaque option.|X ka Y ka @ X = phrase|811||
89|quelque (par ex. quelque chose ou quelqu'un)|PP|||||
90|de cette façon, de cette manière|OI|||||
91|suffixe emphatique|Px|Normalement avant un adjectif.||||
92|suffixe formant des adjectifs ou des adverbes|Sx|Utilisé après un mot indéclinable.||||
93|en tant que dans|PP|En ce qui concerne X, ... Combinaison de "de" indiquant l'emplacement et de "wa" en tant que marqueur de sujet.|X de wa @ X = nom|1444||
94|alors, bien, bien alors|CO|||1232||
95|ne sais pas si oui ou non|PP|ME#0056;0057||||
96|accentuation|PP|Utilisé à la fin d'une phrase pour l'accentuer.|X ga|812||
97|indique l'objet de la phrase|PP|ME#0059;0063||||
98|indique le sujet de la phrase (parfois l'objet)|PP|ME#0064;0065;0066;0067;0068||||
99|mais, cependant, toujours|CO|ME#0144;0145||||
100|et|CO|ME#0146;0147;0148||||
101|indique possessif (surt. dans les expressions littéraires)|PP|||||
102|peu importe, que ce soit (ou non)|PP|||||
103|connecteur de Kanji|PP|Utilisé pour rejoindre deux kanjis lors de la formation d'un nom.|X ka/ga Y @ X = kanji, Y = kanji|||
104|compteur pour le système de comptage ichi-ni-san (normalement précédant directement l'élément à compter), nom (lecture on-yomi)|C|Lu comme "ka".||||
105|compteur d'articles|C|Lu comme "ko".||||
106|indique possessif (en particulier dans les noms de lieux)|PP|Lu comme "ga".||||
107|oui vraiment|PP|Utilisez "ne" et "wa ne" pour les discours familiers masculin et féminin, respectivement.|X ne?/X wa ne? @ X = phrase|819;820||
108|hé, viens, écoute|PP||X ne @ X = phrase|||
109|ne pas|-|Le langage courant pour "nai" (suffixe de négation verbale) peut indiquer une question ou une invitation, si une intonation croissante est utilisée.||||
110|à (lieu, heure), pendant l'exécution d'une action continue sur un site|PP|Se différencie de l'utilisation de "de" pour une action se déroulant sur un site par la continuité à long terme de l'action, ex. dormir dans un endroit.|X ni @ X = nom|823;827||
111|à (direction, état), vers, dans|PP||X ni @ X = nom|824;825||
112|et, en plus de|PP||X ni|||
113|par, dans, par, une (par exemple "une fois par mois"), fréquence ou proportion d'une action/événement|PP||X ni|828||
114|changement ou condition résultante|PP||X ni|829||
115|marqueur d'objet pour le verbe de décision|PP||X ni|830||
116|marqueur d'objet pour le verbe au temps actif causatif|PP|ME#0069;0070||||
117|marqueur d'objet pour verbe donner/recevoir|PP||X ni|826;831||
118|par, de, marqueur de sujet dans une phrase passive|PP||X ni|832||
119|en tant que (c.-à-d. dans le rôle de), marqueur d'objet pour la personne qui est autorisée/autorisée à effectuer une action|PP||X ni|833||
120|utilisé pour comparer/différencier/estimer|PP||X ni|834||
121|pour (but)|PP|dans le but de faire X|X ni|835;1273||
122|fait pour|PP|fait pour X|X ni|836||
123|à cause de (raison), pour, avec|PP||X ni|837||
124|capacité, compétence, connaissance|PP||X ni|838||
125|utilisé avec un adverbe de manière|PP||X ni|839||
126|listes|PP|Rarement utilisé.|X ni|840||
127|afin de|CO|Fais Y pour [faire/être] X.|X ni Y @ X = forme "i" de verbe d'action, Y = verbe|982||
128|au moyen de|CO|X au moyen de Y.|X ni Y @ X/Y = verbe d'action|||
129|va/viens faire|CO|Va/viens faire X.|X ni Y @ X = verbe d'action, Y = kuru/iku/kaeru, sans objet entre les verbes|1064;1065||
130|adverbe sous forme d'adjectif na|naAC|conjugaison d'adj. "na".|[racine] + ni|1092;1093||
131|du point de vue de l'objet|PP||X ni wa|841;842;1269||
132|marqueur d'objet de verbe|PP|Utilisé dans une phrase complexe pour les verbes utilisant "ni" comme marqueur d'objet.|X ni wa Y @ X = objet, Y = verbe taking "ni" as objet marker (e.g. au)|843||
133|pour (en ce qui concerne), afin de|PP|||||
134|modificateur de nom à utiliser comme sujet|PP|Il s’agit d’une combinaison de deux particules: un marqueur possessif "no" et un indicateur de sujet "wa". Il transforme la phrase (adverbe, adjectif, verbe) en un nom utilisable comme sujet d'une phrase qui l'encapsule. La phrase encapsulante utilise à son tour le marqueur de sujet "wa" conformément aux règles de grammaire qui la régissent. Par exemple, "manger des aliments" est modifiée en "le manger des aliments" et est utilisé comme sujet de l'expression "le manger des aliments est bon".|X no wa Y @ X = objet, Y =phrase|1329;1330;1451;1452;1454||
135|mais, cependant, pourtant, et pourtant|CO|ME#0142;0143||||
136|toutefois, peu importe comment, même si|PP|||||
137|... ou quelque chose|PP|||||
138|soit... ou..., ni... ni...|PP|||||
139|pseudo-, charlatan, n'a que le nom de|Px|||||
140|faute de mieux à faire|Px|||||
141|même (par ex. même un enfant pourrait le soulever)|PP|Combinaison des particules "de" et "mo", littéralement: aussi (à un endroit) où l'action est exécutée||||
142|j'ai entendu que ...|PP|ME#0085;0086;0087;0088||||
143|si ... alors|PP|Indique la supposition.||||
144|pensez-vous sérieusement que|PP|Utilisé comme "katte", indique une question satirique ou rhétorique.||||
145|je vous ai déjà dit, vous devriez savoir maintenant que, bien sûr|PP|Indique la certitude, l'insistance, l'accentuation, etc.||||
146|vous avez dit, il a dit, elle a dit, ils ont dit|PP|Abréviation de "to iu".||||sou, to iu
147|le dit ...|PP|Abréviation de "to itteiru".||||
148|j'entends que ...|PP|Abréviation de "to kiiteiru".||||
149|quant au terme ...|PP|Abréviation de "to wa"/"to iu no wa".||||
150|quant à ...|PP|Équivalent au marqueur de sujet "wa".||||
151|même si|PC|ME#0092;0093;0094||||
152|sensationnel|OI|Abréviation de "satemo".||||
153|si ... alors, quand|PC|ME#0103;0104;0105;0106||||
154|et|PP|||||
155|pourquoi tu ne fais pas ...?|PP|||||
156|le plus (on fait quelque chose)|PP|||||
157|parce que, depuis|PP|||||
158|sauf si on …, si on ne le fait pas …|PC|ME#0107;0108;0109;0110||||
159|sauf si on ..., si on ne le fait pas ...|PC|ME#0111;0112;0113;0114||||
160|et|PC|ME#0158;0159||||
161|(à la fin d'une phrase) indique l'une des raisons|PC|ME#0115;0116;0117;0118||||
162|si ... alors|PC|ME#0119;0120;0121;0122||||
163|quand ... alors|PC|ME#0123;0124;0125||||
164|indique une supposition, si ... alors, quand, après|PP|||||
165|(généralement après le nom de quelqu'un) indique l'exaspération|PP|||||
166|sinon ... alors|PC|ME#0126;0127;0128||||
167|quand non ... alors|PC|ME#0129;0130;0131||||
168|alors, donc|CO|X donc Y. Peut aussi être utilisé pour commencer une phrase.|soshitara X @ X = phrase|||
169|cela étant le cas, à cause de ..., la raison en est ..., étant donné que ...|CO|ME#0134;0135||||
170|mâle, viril|Sl|||||
171|et puis, et ainsi, et, de suite|CO|ME#0136;0137||||
172|donc|CO|ME#0138;0139;0140;0141||||
173|par moyen de|CO|X au moyen de Y.|X te/de Y @ X = verbe en forme "te" d'action, Y = verbe d'action|1044||
174|et puis, et ainsi, et, alors, indique une action continue|CO|ME#0233;0234||||
175|même si, malgré tout, et pourtant|CO|ME#0155;0156;0157||||
176|alors que|PP|||||
177|si seulement, je souhaite|PP|||||
178|afin de, aux fins de|VC|Afin de [faire/être] X. Dans le but de [faire/être] X. Semblable à la conversion du verbe en sa forme gérondive ("koto").|X no ni @ X = verbe en forme dict.|983;1274||
179|pendant que, durant, tout en (par ex. tout en prenant le thé), en (par ex. en pleurs), comme|PP|Décrit une action Y faite pendant X.|X nagara Y @ X = verbe forme "nagara", Y = forme "teimasu" de verbe d'action. Notez que l'order de l phrase est important.|959;960||
180|alors que, bien que, malgré, en dépit de, même si, tandis que, quoique, nonobstant|PP|||||
181|tous, les deux|PP|||||
182|comme (par ex. comme toujours), en (par ex. en pleurs)|PP|||||
183|si, au cas où, le cas échéant, s'il est vrai que, si c'est le cas|PP|Si X est le cas ...|X nara @ X = phrase|||
184|comme pour, au sujet de|PP|Au sujet de X ...|X nara @ X = phrase|||
185||PP|||||
186|si possible, si les circonstances le permettent|PP|Si X est possible ... (abrév. de naraba)|X nara @ X = phrase|||
187|et, ou, et similaires, et ainsi de suite|Sx;PP|ME#0251;0252;0253||||
188|le bien qui sort de ...|PC|De tous les X, le Y est bon. Utilisé par l'orateur pour distinguer un bon article d'un ensemble d'articles.|X wa Y ga ii desu @ X = nom décrivant un ensemble d'objets, Y = nom comme sous-ensemble de X|844||
189|quant à|PC|Quant à X, Y est [verbe]. Utilisé par le locuteur pour décrire un aspect [verbe] d'un élément Y dans un objet/ensemble X.|X wa Y ga (verbe) @ X = sujet 1, Y = sujet 2|845;846||
190|valeur|PC|[compteur] X vaut [prix] yen. Utilisé pour donner le prix d'un certain nombre d'éléments comptés.|X [compteur] de [prix] en|847||
191|vendu à|PC|Y (est/sont en train d'être) vendu chez X. Pour indiquer qu'un article est vendu à un endroit donné, la forme progressive "utteiru" du verbe "uru" (vendre) est utilisée à la place de sa forme passive.|Y ga X de utteiru @ X = nom, Y = sujet|||
192|aura|PC|J'aurai X. Utilisé pour demander un élément d'une liste, ex. lors de la commande de nourriture dans un restaurant.|X ni suru @ X = nom|848;1471;1472||
193|également|PC|X aussi Y alors ... Utilisé pour exprimer le point de vue du locuteur concernant un certain objet/concept mentionné par un autre locuteur.|X mo sou Y @ X = pronom, Y = pense/crois/observe/etc.. que|849||
194|ce, cette|CO|X qui Y. Décrit une action Y effectuée par le sujet X, ou un état d'être Y d'un sujet X. Si cette phrase est utilisée dans une autre phrase, les marqueurs de sujet "wa" sont alors interchangés en "ga" pour éviter toute confusion sur le sujet principal de la phrase.|Y X @ X = phrase, Y = action/état d'être décrivant la phrase|850;851;852;853||
195|comme prévu|PC|ME#0074;0075||||
196|ce serait mieux si|PC|ME#0076;0077||||
197|peu importe combien|PC|Peu importe combien [je/tu/il/elle] [fait/est] X.|ikura X mo @ X = verbe en forme "te"|||
198|voudrez-vous?|PC|Voudriez-vous [faire/être] X?|X ii desu ka @ X = phrase en forme simple|||
199|voudrez-vous?|PC|Voudriez-vous [faire/être] X?|X ikaga desu ka @ X = phrase en forme simple|||
200|est, suis|PC|Est X, suis X. Exprime un état d'être. Forme formelle et littéraire de "desu".|X dearu @ X = phrase|1496||
201|était, étais|PC|Était X.|X deatta @ X = phrase|||
202|est inclus|PC|X est inclus.|X ga tsuiteimasu|302||
203|est inclus|PC|X est inclus.|X ga hatteimasu|129||
204|ou quelque chose|PC|Soyez X ou quelque chose.|X ka nanika wo|||
205|ou quelqu'un|PC|Soyez X ou quelqu'un.|X ka dareka wo|||
206|ou quelque part|PC|Soyez à X ou quelque part.|X ka dokoka wo|||
207|probablement|PC|(Il) [fait/est] probablement X. Temps présomptif.|X darou @ X = verbe en forme simple, adj. "i", adj. "na", nom|1357||
208|se demander si|PC|[Je me/tu te/il se/elle se] demande si [je/tu/il/elle] [fait/est] X.|X darou @ X = mot interrogatif (doko, dare, etc)|||
209|probablement|PC|(Il) [fait/est] probablement X. Présomptif, forme polie.|X deshou @ X = verbe en forme simple, adj. "i", adj. "na", nom|1356;1358;1359;1360||
210|se demander si|PC|[Je me/tu te/il se/elle se] demande si [je/tu/il/elle] [fait/est] X.|X deshou @ X = mot interrogatif (doko, dare, etc)|||
211|excepté|PC|En dehors de X ...|X no hoka @ X = phrase|||
212|trop|PC|ME#0095;0096;0097||||
213|à cause de|PC|C'est à cause de X. Utilisez "nanda" à la fin d'une phrase. Utilisé familièrement.|X nanda|||
214|que faut-il faire quand, que faire quand|PC|Que doit-on [faire/être] quand X? (répondez avec "Y ii desu")|X ii desu ka? @ X/Y = verbe en forme "ba"|915||
215|que faut-il faire quand, que faire quand|PC|Que doit-on [faire/être] quand X? (répondez avec "Y ii desu")|X ii desu ka? @ X/Y = verbe en forme "tara"|||
216|même si|CO|Y même si X. condition "si" utilisée d'avantage pour les phrases "poétiques".|tatoe X mo Y @ X = phrase avec verbe en forme "te", Y = phrase|1465;1466;1467||
217|néanmoins, cependant|CO|X néanmoins Y, X cependant Y.|X. sore ni shite mo Y @ Y = phrase|||
218|ne fais pas ... mais fais plutôt|CO|Ne fais pas X mais fais Y.|X naide Y @ X/Y = verbe d'action|950||
219|ne fais pas ... sans faire|CO|Ne fais pas Y sans faire X.|X naide Y @ X naide = verbe en fore "naide", Y = phrase|||
220|ne fais pas ... alors fais|CO|Pas X puis Y.|X naide Y @ X/Y = verbe d'action|1068||
221|pas ... et à sa place|CO|Pas X mais Y à la place|X ja nakute Y @ X/Y = phrase|958;337||
222|ou, autrement|CO|X ou Y, X sinon Y.|X mata wa Y @ X/Y = phrase|||
223|ensemble avec|CO|X avec Y.|X to issho ni Y @ X/Y = phrase|||
224|pendant, durant|CO|ME#0169;0170;0171||||
225|passe au milieu de|CO|L'action Y se passe au beau milieu de l'événement X.|X no tochuu de Y|978||
226|existe durant un mouvement|CO|Y existe sur le chemin pendant le mouvement X.|X tochuu ni Y|979||
227|passe durant un mouvement|CO|Action Y qui se passe pendant le mouvement X.|X tochuu de Y @ X = mouvement|980;981||
228|dire/demander à faire|PC|Dit/demande à [faire/être] X.|X you ni to Y @ X = action, Y = iu/tsutaeru|994;995||
229|espère que|PC|ME#0245;0246||||
230|espère que|PC|ME#0247;0248||||
231|dit que|PC|ME#0174;0175||||
232|dit que|PC|ME#0257;0258||||
233|pense que|PC|ME#0176;0177||||
234|pas toujours|PC|ME#0178;0179||||
235|autant que|PC|Aussi loin que X.|X tokoro dewa|1009||
236|savoir/penser/croire/voir si c'est|PC|Est-ce que vous Y si X est ...?|X ka Y ka? @ X = question, Y = sais/crois/pense/vois/etc..|1010;1011;1012;1013;1014||
237|savoir/penser/croire/voir si ce n'est pas|PC|Est-ce que vous Y si X est ... ou pas?|X ka dou ka Y ka? @ X = question, Y = sais/crois/pense/vois/etc..|1016;1017||
238|Je ne sais/pense/crois pas que c'est ou non|PC|ME#0180;0181;0182||||
239|pour voir si est ou non|PC|Pour voir si X est ... ou non.|X ka dou ka Y miru @ X = phrase, Y = verbe en forme "te"|1349;1350||
240|devenir capable de faire|PC|Pour pouvoir être/faire X. À place de la construction invalide "eru + tai".|X you ni naritai @ X = verbe en forme "eru" (peut faire/être)|||
241|ne pas être capable de faire|PC|Ne pas pouvoir être/faire X. À place de la construction invalide "eru + tai".|X you ni naru kamo shirenai @ X = verbe en forme "eru" (peut faire/être)|||
242|similaire|PC|Y ressemble/ressemble à X.|X wa Y ni niteiru @ X = nom|1361||
243|vers, respectif à|PC||X ni tai suru @ X = phrase|||
244|qui est le plus|PC|Lequel de X et Y est le plus [caractéristique Z]?|X to Y to dochira ga Z @ X/Y = nom, Z = caratéristique|767||
245|est le meilleur de tous|PC|Parmi tous les X, Y est le plus [caractéristique Z].|X no naka de Y ga ichiban Z @ X/Y = nom, Z = caratéristique|1050;1487||
246|plus que|PC|ME#0215;0216;0217||||
247|entre|PC|ME#0220;0221||||
248|moins et un peu plus|PC|Moins de X et un peu plus de Y.|X yori mou sukoshi Y @ Y = adj.|1057||
249|être fait pendant|VC|X est en cours d'être fait (présent progressif) alors que [je/tu/il/elle] [fais/fait/suis/es/est] quelque chose.|X ite @ X = verbe en forme "te"|||
250|être fait pendant|VC|X est en cours d'être fait (présent progressif) alors que [je/tu/il/elle] [fais/fait/suis/es/est] quelque chose. Forme familière de "teite/deite".|X te @ X = verbe en forme "te"|||
251|être fait|VC|X est en cours d'être fait (présent progressif).|X iru @ X = verbe en forme "te"|||
252|en cours d'être fait|VC|X est une action/un événement passé qui est encore pertinent pour le présent (progressif).|X iru @ X = verbe en forme "te"|652;1079||
253|été fait|VC|X a (déjà) été fait. Semblable à l'utilisation de "te iru", généralement avec la connotation de quelque chose qui existe déjà (par exemple, "la fenêtre est déjà ouverte"). La forme "te aru" nécessite généralement l'indicateur d'objet "ga".|X aru @ X = verbe en forme "te"|1080;1081;1377||
254|continuant|VC|X a eu lieu et continuera à se produire.|X iku @ X = verbe en forme "te"|||
255|faire en s'éloignant|VC|[Fait/est] X en s'éloignant.|X iku @ X = verbe en forme "te"|||
256|faire et s'en aller à quelque part|VC|[Faire/être] X puis aller quelque part.|X iku @ X = verbe en forme "te"|||
257|faire en avance|VC|[Faire/être] X préventivement, en préparation de, en avance de.|X oku @ X = verbe en forme "te"|1069;1347;1418||ttoku
258|faire en avance|VC|[Faire/être] X préventivement, en préparation de, en avance de.|X ttoku @ X = racine du verbe|1070||te oku
259|et alors|VC|X puis Y.|X kara Y @ X = verbe en forme "te"|1071;1072||
260|arriver à faire/être X|VC|Se réfère à un événement qui a commencé dans le passé et se poursuit dans le présent.|X kuru @ X = verbe en forme "te"|||
261|faire en approchant|VC|[Faire/être] X en s'approchant.|X kuru @ X = verbe en forme "te"|||
262|faire et puis venir|VC|[Faire/être] X et ensuite venir.|X kuru @ X = verbe en forme "te"|||
263|est possible|VC|[faire/être] X est possible.|X mo ii da @ X = verbe en forme "te"/objet de la phrase|887;888;889;150||
264|non autorisé, interdit|VC|[faire/être] X n'est pas permis/interdit.|X wa ikenai @ X = verbe en forme "te"/objet de la phrase|890;483;1484||cha ikenai
265|non autorisé, interdit|VC|[faire/être] X n'est pas permis/interdit. Forme familière de "te wa ikenai" pour les verbes.|X cha ikenai @ X = racine du verbe|1483||te wa ikenai
266|bien à faire|VC|Est-ce que ça va si [je/tu/il/elle] [suis/es/est] X?|X mo ii desu ka @ X = verbe en forme "te"|891||
267|donner à quelqu'un en tant que faveur|VC|Donner X à quelqu'un en tant que faveur. Utilisez "te ageru" non seulement pour un langage poli, mais également pour spécifier implicitement le donneur/destinataire (ex. "watashi/kare ni" est supprimé de la phrase).|X ageru @ X = verbe en forme "te"|885;1393;1436;1437;1440;1443||te morau, te kureru
268|vouloir faire/être, espérer faire/être|VC|[Je/tu/il/elle] [veux/veut] que quelqu'un [fasse/soit] X, espère que quelqu'un [fait/est] X.|X hoshii da @ X = verbe en forme "te"|||
269|s'il vous plaît faites/soyez|VC|S'il vous plaît [do/be] X.|X kudasai @ X = verbe en forme "te" (ajoutez "sumimasen" ou "chotto" pour adoucir la demande)|886||
270|voudriez-vous s'il vous plaît faire|VC|Voulez-vous s'il vous plaît [faire/être] X.|X kuremasen ka @ X = verbe en forme "te" (expression utilisée lorsque la demande peut causer des problèmes à l'autre personne)|||te kurenai, te itadakemasen ka
271|voulez-vous s'il vous plaît faire|VC|Voudriez-vous s'il vous plaît [faire/être] X.|X kurenai @ X = verbe en forme "te" (expression utilisée lorsque la demande peut causer des problèmes à l'autre personne)|||te kuremasen ka, te itadakemasen ka
272|pourriez-vous s'il vous plaît faire|VC|Pourriez-vous s'il vous plaît [faire/être] X.|X itadakemasen ka @ X = verbe en forme "te" (expression utilisée lorsque la demande peut causer des problèmes à l'autre personne)|||te kuremasen ka, te kurenai
273|faire en tant que faveur|VC|[tu/il/elle] [fais/fait/es/est] X en tant que faveur pour moi. Utilisez "te kureru" non seulement pour un langage poli, mais également pour spécifier implicitement le donneur/destinataire (ex. "watashi/kare ni" est supprimé de la phrase). Se réfère généralement à accomplir un acte pour la personne qui est le sujet ou un proche dans la famille. L'utilisation de "te kureru" correspond à une phrase active contrairement à "te morau" qui correspond à une phrase passive.|Y ga Z wo X kureru @ X = verbe en forme "te", Y = personne faisant la faveur, Z = objet de la faveur|1435;1438;1441||te morau, te ageru
274|faire et voir ce qui se passe|VC|[faire/être] X et voir ce qui se passe.|X miru @ X = verbe en forme "te"|1349;1350;1390||
275|vouloir faire et voir ce qui se passe, vouloir essayer de faire|VC|Vouloir [faire/être] X et voir ce qui se passe, vouloir essayer de [faire/être] X.|X miru @ X = verbe en forme "te"|990||
276|peut faire en tant que faveur|VC|[Je/tu/il/elle] peut [faire/être] X en tant que faveur.|X moraeru @ X = verbe en forme "te"|||
277|demander à faire en tant que faveur|VC|Pourriez-vous [faire/être] X (en tant que faveur)?|X moraemasu ka @ X = verbe en forme "te"|||
278|si peut faire en tant que faveur|VC|Si quelqu'un peut [faire/être] X en tant que faveur.|X moraeru to @ X = verbe en forme "te"|||
279|recevoir en tant que faveur (poli)|VC|Plus poli que "te morau".|X morau @ X = verbe en forme "te"|1431||te morau
